,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
151,House for Sale,"Bhangal , Kathmandu",Rs. 35.5Lac,,,5,5,2.5,1 Car & 4 Bikes,13 Feet 
152,House on sale,"Bhangal , Kathmandu",Rs. 4.25Cr,,2759 Sq. Ft.,7,6,2.5,1 Car & 4 Bikes,12 Feet 
153,House for Sale,"Imadol, Lalitpur",Rs. 2.25Cr,,1799 Sq. Ft.,5,4,2.5,1 Car & 2 Bikes,13 Feet 
154,House On Sale,"Imadol, Lalitpur",Rs. 3.15Cr,,,5,4,2.5,1 Car & 2 Bikes,13 Feet 
155,House for Sale,"Imadol, Lalitpur",Rs. 2.45Cr,,1133.880 Sq. Ft.,4,4,2.5,1 Car & 3 Bikes,13 Feet 
156,House for Sale,"Khumaltar, Lalitpur",Rs. 4.15Cr,,1540.328 Sq. Ft.,6,5,3,2 Cars & 4 Bikes,13 Feet 
157,House for Sale,"Bhaisepati, Lalitpur",Rs. 14Cr,,5819 Sq. Ft.,5,3,2.5,2 Cars & 4 Bikes,20 Feet 
158,Mansion House for Sale,"Mudkhu, Kathmandu",Rs. 26Cr,,73945.989 Sq. Ft.,5,3,2,9 Cars & 9 Bikes,20 Feet 
159,House on Sale,"Imadol, Lalitpur",Rs. 3.25Cr,,,5,4,2.5,1 Car & 2 Bikes,
160,House for Sale,"Bhaisepati, Lalitpur",Rs. 6.5Cr,,2139.345 Sq. Ft.,4,5,2.5,2 Cars & 3 Bikes,13 Feet 
161,House for Sale,"Satungal, Kathmandu",Rs. 2.3Cr,,2200 Sq. Ft.,5,4,3.5,1 Car & 3 Bikes,20 Feet 
162,House for Sale,"Budhanilkantha, Kathmandu",Price on call,,,6,4,2.5,2 Cars & 2 Bikes,13 Feet 
163,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 3.8Cr,,2316 Sq. Ft.,,,2.5,,25 Feet 
164,House for Sale,"Lubhu, Lalitpur",Rs. 1.98Cr,,3000 Sq. Ft.,6,4,2.5,1 Car & 3 Bikes,20 Feet 
165,House for Sale,"Aakasedhara, Kathmandu",Rs. 3.75Cr,,2500 Sq. Ft.,6,2,2.5,1 Car & 2 Bikes,20 Feet 
166,House for Sale,"Lasuntar, Kathmandu",Rs. 3.5Cr,,2500 Sq. Ft.,6,2,2.5,1 Car & 2 Bikes,16 Feet 
167,House for Sale,"Baluwatar, Kathmandu",Rs. 11.5Cr,,2500 Sq. Ft.,5,3,2.5,3 Cars & 4 Bikes,20 Feet 
168,House for Sale,"Gurjudhara, Kathmandu",Rs. 1.15Cr,,999 Sq. Ft.,3,1,1.5,1 Car & 1 Bike,13 Feet 
169,House for Sale,"Kalanki, Kathmandu",Rs. 2.5Cr,,1026.75 Sq. Ft.,5,3,2.5,,13 Feet 
170,House for Sale,"Pepsicola, Kathmandu",Rs. 6.5Cr,,3300 Sq. Ft.,5,3,3.5,1 Car & 2 Bikes,20 Feet 
171,House for Sale,"Satungal, Kathmandu",Rs. 2.7Cr,,2299 Sq. Ft.,7,2,3,1 Car & 2 Bikes,15 Feet 
172,House for Sale,"Mahalaxmisthan, Lalitpur",Price on call,,1133.880 Sq. Ft.,5,4,3,1 Car & 4 Bikes,12 Feet 
